Data Check 1,Data Check 2 ,Study Phase ,Site ,Tran,Dist ,Rep or Extra,Date(s) of Procedure ,Crucible Number # ,Empty Crucible Weight,Subsample Weight (Filter + Sediment on Filter) ,Post-Burn Weight 
,,P1,B ,1,0.5,a ,,,,,
,,P1,B ,1,0.5,b ,,,,,
,,P1,B ,1,0.5,c,,,,,
,,P1,B ,1,2,a ,,,,,
,,P1,B ,1,2,b ,,,,,
,,P1,B ,1,2,c,,,,,
,,P1,B ,1,6,a ,,,,,
,,P1,B ,1,6,b ,,,,,
,,P1,B ,1,6,c,,,,,
,,P1,B ,1,12,a ,,,,,
,,P1,B ,1,12,b ,,,,,
,,P1,B ,1,12,c,,,,,
,,P1,B ,1,24,a ,,,,,
,,P1,B ,1,24,b ,,,,,
,,P1,B ,1,24,c,,,,,
,,P1,B ,1,48,a ,,,,,
,,P1,B ,1,48,b ,,,,,
,,P1,B ,1,48,c,,,,,
,,P1,B ,2,0.5,a ,,,,,
,,P1,B ,2,0.5,b ,,,,,
,,P1,B ,2,0.5,c,,,,,
,,P1,B ,2,2,a ,,,,,
,,P1,B ,2,2,b ,,,,,
,,P1,B ,2,2,c,,,,,
,,P1,B ,2,6,a ,,,,,
,,P1,B ,2,6,b ,,,,,
,,P1,B ,2,6,c,,,,,
,,P1,B ,2,12,a ,,,,,
,,P1,B ,2,12,b ,,,,,
,,P1,B ,2,12,c,,,,,
,,P1,B ,2,24,a ,,,,,
,,P1,B ,2,24,b ,,,,,
,,P1,B ,2,24,c,,,,,
,,P1,B ,2,48,a ,,,,,
,,P1,B ,2,48,b ,,,,,
,,P1,B ,2,48,c,,,,,
,,P1,B ,1,18a,E1 ,,,,,
,,P1,B ,1,18b,E2 ,,,,,
,,P1,B ,1,18c ,E3,,,,,
,,P1,B ,,,E4 ,,,,,
,,M1,B ,1,0.5,a ,,,,,
,,M1,B ,1,0.5,b ,,,,,
,,M1,B ,1,0.5,c,,,,,
,,M1,B ,1,2,a ,,,,,
,,M1,B ,1,2,b ,,,,,
,,M1,B ,1,2,c,,,,,
,,M1,B ,1,6,a ,,,,,
,,M1,B ,1,6,b ,,,,,
,,M1,B ,1,6,c,,,,,
,,M1,B ,1,12,a ,,,,,
,,M1,B ,1,12,b ,,,,,
,,M1,B ,1,12,c,,,,,
,,M1,B ,1,24,a ,,,,,
,,M1,B ,1,24,b ,,,,,
,,M1,B ,1,24,c,,,,,
,,M1,B ,1,48,a ,,,,,
,,M1,B ,1,48,b ,,,,,
,,M1,B ,1,48,c,,,,,
,,M1,B ,2,0.5,a ,,,,,
,,M1,B ,2,0.5,b ,,,,,
,,M1,B ,2,0.5,c,,,,,
,,M1,B ,2,2,a ,,,,,
,,M1,B ,2,2,b ,,,,,
,,M1,B ,2,2,c,,,,,
,,M1,B ,2,6,a ,,,,,
,,M1,B ,2,6,b ,,,,,
,,M1,B ,2,6,c,,,,,
,,M1,B ,2,12,a ,,,,,
,,M1,B ,2,12,b ,,,,,
,,M1,B ,2,12,c,,,,,
,,M1,B ,2,24,a ,,,,,
,,M1,B ,2,24,b ,,,,,
,,M1,B ,2,24,c,,,,,
,,M1,B ,2,48,a ,,,,,
,,M1,B ,2,48,b ,,,,,
,,M1,B ,2,48,c,,,,,
,,M1,B ,,,E1 (B1-18a),,,,,
,,M1,B ,,,E2  (B1-18b),,,,,
,,M1,B ,,,E3 (B1-18c),,,,,
,,M1,B ,,,E4 ,,,,,
,,M1,G,1,0.5,a ,,,,,
,,M1,G,1,0.5,b ,,,,,
,,M1,G,1,0.5,c,,,,,
,,M1,G,1,2,a ,,,,,
,,M1,G,1,2,b ,,,,,
,,M1,G,1,2,c,,,,,
,,M1,G,1,6,a ,,,,,
,,M1,G,1,6,b ,,,,,
,,M1,G,1,6,c,,,,,
,,M1,G,1,12,a ,,,,,
,,M1,G,1,12,b ,,,,,
,,M1,G,1,12,c,,,,,
,,M1,G,1,24,a ,,,,,
,,M1,G,1,24,b ,,,,,
,,M1,G,1,24,c,,,,,
,,M1,G,1,48,a ,,,,,
,,M1,G,1,48,b ,,,,,
,,M1,G,1,48,c,,,,,
,,M1,G,2,0.5,a ,,,,,
,,M1,G,2,0.5,b ,,,,,
,,M1,G,2,0.5,c,,,,,
,,M1,G,2,2,a ,,,,,
,,M1,G,2,2,b ,,,,,
,,M1,G,2,2,c,,,,,
,,M1,G,2,6,a ,,,,,
,,M1,G,2,6,b ,,,,,
,,M1,G,2,6,c,,,,,
,,M1,G,2,12,a ,,,,,
,,M1,G,2,12,b ,,,,,
,,M1,G,2,12,c,,,,,
,,M1,G,2,24,a ,,,,,
,,M1,G,2,24,b ,,,,,
,,M1,G,2,24,c,,,,,
,,M1,G,2,48,a ,,,,,
,,M1,G,2,48,b ,,,,,
,,M1,G,2,48,c,,,,,
,,M1,G,,,E1 ,,,,,
,,M1,G,,,E2 ,,,,,
,,M1,G,,,E3,,,,,
,,M1,G,,,E4 ,,,,,
,,M1,C,1,0.5,a ,,,,,
,,M1,C,1,0.5,b ,,,,,
,,M1,C,1,0.5,c,,,,,
,,M1,C,1,2,a ,,,,,
,,M1,C,1,2,b ,,,,,
,,M1,C,1,2,c,,,,,
,,M1,C,1,6,a ,,,,,
,,M1,C,1,6,b ,,,,,
,,M1,C,1,6,c,,,,,
,,M1,C,1,12,a ,,,,,
,,M1,C,1,12,b ,,,,,
,,M1,C,1,12,c,,,,,
,,M1,C,1,24,a ,,,,,
,,M1,C,1,24,b ,,,,,
,,M1,C,1,24,c,,,,,
,,M1,C,1,48,a ,,,,,
,,M1,C,1,48,b ,,,,,
,,M1,C,1,48,c,,,,,
,,M1,C,2,0.5,a ,,,,,
,,M1,C,2,0.5,b ,,,,,
,,M1,C,2,0.5,c,,,,,
,,M1,C,2,2,a ,,,,,
,,M1,C,2,2,b ,,,,,
,,M1,C,2,2,c,,,,,
,,M1,C,2,6,a ,,,,,
,,M1,C,2,6,b ,,,,,
,,M1,C,2,6,c,,,,,
,,M1,C,2,12,a ,,,,,
,,M1,C,2,12,b ,,,,,
,,M1,C,2,12,c,,,,,
,,M1,C,2,24,a ,,,,,
,,M1,C,2,24,b ,,,,,
,,M1,C,2,24,c,,,,,
,,M1,C,2,48,a ,,,,,
,,M1,C,2,48,b ,,,,,
,,M1,C,2,48,c,,,,,
,,M1,C,2,,E1 ,,,,,
,,M1,C,2,,E2 ,,,,,
,,M1,C,2,,E3,,,,,
,,M1,C,2,,E4 ,,,,,
,,M1,S,1,0.5,a ,,,,,
,,M1,S,1,0.5,b ,,,,,
,,M1,S,1,0.5,c,,,,,
,,M1,S,1,2,a ,,,,,
,,M1,S,1,2,b ,,,,,
,,M1,S,1,2,c,,,,,
,,M1,S,1,6,a ,,,,,
,,M1,S,1,6,b ,,,,,
,,M1,S,1,6,c,,,,,
,,M1,S,1,12,a ,,,,,
,,M1,S,1,12,b ,,,,,
,,M1,S,1,12,c,,,,,
,,M1,S,1,24,a ,,,,,
,,M1,S,1,24,b ,,,,,
,,M1,S,1,24,c,,,,,
,,M1,S,1,48,a ,,,,,
,,M1,S,1,48,b ,,,,,
,,M1,S,1,48,c,,,,,
,,M1,S,2,0.5,a ,,,,,
,,M1,S,2,0.5,b ,,,,,
,,M1,S,2,0.5,c,,,,,
,,M1,S,2,2,a ,,,,,
,,M1,S,2,2,b ,,,,,
,,M1,S,2,2,c,,,,,
,,M1,S,2,6,a ,,,,,
,,M1,S,2,6,b ,,,,,
,,M1,S,2,6,c,,,,,
,,M1,S,2,12,a ,,,,,
,,M1,S,2,12,b ,,,,,
,,M1,S,2,12,c,,,,,
,,M1,S,2,24,a ,,,,,
,,M1,S,2,24,b ,,,,,
,,M1,S,2,24,c,,,,,
,,M1,S,2,48,a ,,,,,
,,M1,S,2,48,b ,,,,,
,,M1,S,2,48,c,,,,,
,,M1,S,2,,E1 ,,,,,
,,M1,S,2,,E2 ,,,,,
,,M1,S,2,,E3,,,,,
,,M1,S,2,,E4 ,,,,,
,,M2,B,1,0.5,a ,,,,,
,,M2,B,1,0.5,b ,,,,,
,,M2,B,1,0.5,c,,,,,
,,M2,B,1,2,a ,,,,,
,,M2,B,1,2,b ,,,,,
,,M2,B,1,2,c,,,,,
,,M2,B,1,6,a ,,,,,
,,M2,B,1,6,b ,,,,,
,,M2,B,1,6,c,,,,,
,,M2,B,1,12,a ,,,,,
,,M2,B,1,12,b ,,,,,
,,M2,B,1,12,c,,,,,
,,M2,B,1,18,a ,,,,,
,,M2,B,1,18,b ,,,,,
,,M2,B,1,18,c ,,,,,
,,M2,B,1,24,a ,,,,,
,,M2,B,1,24,b ,,,,,
,,M2,B,1,24,c,,,,,
,,M2,B,1,48,a ,,,,,
,,M2,B,1,48,b ,,,,,
,,M2,B,1,48,c,,,,,
,,M2,B,2,0.5,a ,,,,,
,,M2,B,2,0.5,b ,,,,,
,,M2,B,2,0.5,c,,,,,
,,M2,B,2,2,a ,,,,,
,,M2,B,2,2,b ,,,,,
,,M2,B,2,2,c,,,,,
,,M2,B,2,6,a ,,,,,
,,M2,B,2,6,b ,,,,,
,,M2,B,2,6,c,,,,,
,,M2,B,2,12,a ,,,,,
,,M2,B,2,12,b ,,,,,
,,M2,B,2,12,c,,,,,
,,M2,B,2,24,a ,,,,,
,,M2,B,2,24,b ,,,,,
,,M2,B,2,24,c,,,,,
,,M2,B,2,48,a ,,,,,
,,M2,B,2,48,b ,,,,,
,,M2,B,2,48,c,,,,,
,,M2,B,,,E1 ,,,,,
,,M2,B,,,E2 ,,,,,
,,M2,B,,,E3,,,,,
,,M2,B,,,E4 ,,,,,
,,M2 ,G,1,0.5,a,,,,,
,,M2 ,G,1,0.5,b ,,,,,
,,M2 ,G,1,0.5,c,,,,,
,,M2 ,G,1,2,a,,,,,
,,M2 ,G,1,2,b ,,,,,
,,M2 ,G,1,2,c,,,,,
,,M2 ,G,1,6,a,,,,,
,,M2 ,G,1,6,b ,,,,,
,,M2 ,G,1,6,c,,,,,
,,M2 ,G,1,12,a,,,,,
,,M2 ,G,1,12,b ,,,,,
,,M2 ,G,1,12,c,,,,,
,,M2 ,G,1,24,a ,,,,,
,,M2 ,G,1,24,b ,,,,,
,,M2 ,G,1,24,c,,,,,
,,M2 ,G,1,48,a,,,,,
,,M2 ,G,1,48,b ,,,,,
,,M2 ,G,1,48,c,,,,,
,,M2 ,G,2,0.5,a,,,,,
,,M2 ,G,2,0.5,b ,,,,,
,,M2 ,G,2,0.5,c,,,,,
,,M2 ,G,2,2,a,,,,,
,,M2 ,G,2,2,b ,,,,,
,,M2 ,G,2,2,c,,,,,
,,M2 ,G,2,6,a,,,,,
,,M2 ,G,2,6,b ,,,,,
,,M2 ,G,2,6,c,,,,,
,,M2 ,G,2,12,a,,,,,
,,M2 ,G,2,12,b ,,,,,
,,M2 ,G,2,12,c,,,,,
,,M2 ,G,2,24,a ,,,,,
,,M2 ,G,2,24,b ,,,,,
,,M2 ,G,2,24,c,,,,,
,,M2 ,G,2,48,a,,,,,
,,M2 ,G,2,48,b ,,,,,
,,M2 ,G,2,48,c,,,,,
,,M2 ,G,,,E-1 ,,,,,
,,M2 ,G,,,E-2 ,,,,,
,,M2 ,G,,,E-3 ,,,,,
,,M2 ,G,,,E-4 ,,,,,
,,M2 ,C,1,0.5,a,,,,,
,,M2 ,C,1,0.5,b ,,,,,
,,M2 ,C,1,0.5,c,,,,,
,,M2 ,C,1,2,a,,,,,
,,M2 ,C,1,2,b ,,,,,
,,M2 ,C,1,2,c,,,,,
,,M2 ,C,1,6,a,,,,,
,,M2 ,C,1,6,b ,,,,,
,,M2 ,C,1,6,c,,,,,
,,M2 ,C,1,12,a,,,,,
,,M2 ,C,1,12,b ,,,,,
,,M2 ,C,1,12,c,,,,,
,,M2 ,C,1,24,a ,,,,,
,,M2 ,C,1,24,b ,,,,,
,,M2 ,C,1,24,c,,,,,
,,M2 ,C,1,48,a,,,,,
,,M2 ,C,1,48,b ,,,,,
,,M2 ,C,1,48,c,,,,,
,,M2 ,C,2,0.5,a,,,,,
,,M2 ,C,2,0.5,b ,,,,,
,,M2 ,C,2,0.5,c,,,,,
,,M2 ,C,2,2,a,,,,,
,,M2 ,C,2,2,b ,,,,,
,,M2 ,C,2,2,c,,,,,
,,M2 ,C,2,6,a,,,,,
,,M2 ,C,2,6,b ,,,,,
,,M2 ,C,2,6,c,,,,,
,,M2 ,C,2,12,a,,,,,
,,M2 ,C,2,12,b ,,,,,
,,M2 ,C,2,12,c,,,,,
,,M2 ,C,2,24,a ,,,,,
,,M2 ,C,2,24,b ,,,,,
,,M2 ,C,2,24,c,,,,,
,,M2 ,C,2,48,a,,,,,
,,M2 ,C,2,48,b ,,,,,
,,M2 ,C,2,48,c,,,,,
,,M2 ,C,,,E-1 ,,,,,
,,M2 ,C,,,E-2 ,,,,,
,,M2 ,C,,,E-3 ,,,,,
,,M2 ,C,,,E-4 ,,,,,
,,M2 ,S,1,0.5,a,,,,,
,,M2 ,S,1,0.5,b ,,,,,
,,M2 ,S,1,0.5,c,,,,,
,,M2 ,S,1,2,a,,,,,
,,M2 ,S,1,2,b ,,,,,
,,M2 ,S,1,2,c,,,,,
,,M2 ,S,1,6,a,,,,,
,,M2 ,S,1,6,b ,,,,,
,,M2 ,S,1,6,c,,,,,
,,M2 ,S,1,12,a,,,,,
,,M2 ,S,1,12,b ,,,,,
,,M2 ,S,1,12,c,,,,,
,,M2 ,S,1,24,a ,,,,,
,,M2 ,S,1,24,b ,,,,,
,,M2 ,S,1,24,c,,,,,
,,M2 ,S,1,48,a,,,,,
,,M2 ,S,1,48,b ,,,,,
,,M2 ,S,1,48,c,,,,,
,,M2 ,S,2,0.5,a,,,,,
,,M2 ,S,2,0.5,b ,,,,,
,,M2 ,S,2,0.5,c,,,,,
,,M2 ,S,2,2,a,,,,,
,,M2 ,S,2,2,b ,,,,,
,,M2 ,S,2,2,c,,,,,
,,M2 ,S,2,6,a,,,,,
,,M2 ,S,2,6,b ,,,,,
,,M2 ,S,2,6,c,,,,,
,,M2 ,S,2,12,a,,,,,
,,M2 ,S,2,12,b ,,,,,
,,M2 ,S,2,12,c,,,,,
,,M2 ,S,2,24,a ,,,,,
,,M2 ,S,2,24,b ,,,,,
,,M2 ,S,2,24,c,,,,,
,,M2 ,S,2,48,a,,,,,
,,M2 ,S,2,48,b ,,,,,
,,M2 ,S,2,48,c,,,,,
,,M2 ,S,,,E-1 ,,,,,
,,M2 ,S,,,E-2 ,,,,,
,,M2 ,S,,,E-3 ,,,,,
,,M2 ,S,,,E-4 ,,,,,
,,M3,B,1,0.5,a ,,,,,
,,M3,B,1,0.5,b ,,,,,
,,M3,B,1,0.5,c,,,,,
,,M3,B,1,2,a ,,,,,
,,M3,B,1,2,b ,,,,,
,,M3,B,1,2,c,,,,,
,,M3,B,1,6,a ,,,,,
,,M3,B,1,6,b ,,,,,
,,M3,B,1,6,c,,,,,
,,M3,B,1,12,a ,,,,,
,,M3,B,1,12,b ,,,,,
,,M3,B,1,12,c,,,,,
,,M3,B,1,18,a ,,,,,
,,M3,B,1,18,b ,,,,,
,,M3,B,1,18,c ,,,,,
,,M3,B,1,24,a ,,,,,
,,M3,B,1,24,b ,,,,,
,,M3,B,1,24,c,,,,,
,,M3,B,1,48,a ,,,,,
,,M3,B,1,48,b ,,,,,
,,M3,B,1,48,c,,,,,
,,M3,B,2,0.5,a ,,,,,
,,M3,B,2,0.5,b ,,,,,
,,M3,B,2,0.5,c,,,,,
,,M3,B,2,2,a ,,,,,
,,M3,B,2,2,b ,,,,,
,,M3,B,2,2,c,,,,,
,,M3,B,2,6,a ,,,,,
,,M3,B,2,6,b ,,,,,
,,M3,B,2,6,c,,,,,
,,M3,B,2,12,a ,,,,,
,,M3,B,2,12,b ,,,,,
,,M3,B,2,12,c,,,,,
,,M3,B,2,24,a ,,,,,
,,M3,B,2,24,b ,,,,,
,,M3,B,2,24,c,,,,,
,,M3,B,2,48,a ,,,,,
,,M3,B,2,48,b ,,,,,
,,M3,B,2,48,c,,,,,
,,M3,B,,,E1 ,,,,,
,,M3,B,,,E2 ,,,,,
,,M3,B,,,E3,,,,,
,,M3,B,,,E4 ,,,,,
,,M3,G,1,0.5,a,,,,,
,,M3,G,1,0.5,b ,,,,,
,,M3,G,1,0.5,c,,,,,
,,M3,G,1,2,a,,,,,
,,M3,G,1,2,b ,,,,,
,,M3,G,1,2,c,,,,,
,,M3,G,1,6,a,,,,,
,,M3,G,1,6,b ,,,,,
,,M3,G,1,6,c,,,,,
,,M3,G,1,12,a,,,,,
,,M3,G,1,12,b ,,,,,
,,M3,G,1,12,c,,,,,
,,M3,G,1,24,a ,,,,,
,,M3,G,1,24,b ,,,,,
,,M3,G,1,24,c,,,,,
,,M3,G,1,48,a,,,,,
,,M3,G,1,48,b ,,,,,
,,M3,G,1,48,c,,,,,
,,M3,G,2,0.5,a,,,,,
,,M3,G,2,0.5,b ,,,,,
,,M3,G,2,0.5,c,,,,,
,,M3,G,2,2,a,,,,,
,,M3,G,2,2,b ,,,,,
,,M3,G,2,2,c,,,,,
,,M3,G,2,6,a,,,,,
,,M3,G,2,6,b ,,,,,
,,M3,G,2,6,c,,,,,
,,M3,G,2,12,a,,,,,
,,M3,G,2,12,b ,,,,,
,,M3,G,2,12,c,,,,,
,,M3,G,2,24,a ,,,,,
,,M3,G,2,24,b ,,,,,
,,M3,G,2,24,c,,,,,
,,M3,G,2,48,a,,,,,
,,M3,G,2,48,b ,,,,,
,,M3,G,2,48,c,,,,,
,,M3,G,,,E-1 ,,,,,
,,M3,G,,,E-2 ,,,,,
,,M3,G,,,E-3 ,,,,,
,,M3,G,,,E-4 ,,,,,
,,M3,C,1,0.5,a,,,,,
,,M3,C,1,0.5,b ,,,,,
,,M3,C,1,0.5,c,,,,,
,,M3,C,1,2,a,,,,,
,,M3,C,1,2,b ,,,,,
,,M3,C,1,2,c,,,,,
,,M3,C,1,6,a,,,,,
,,M3,C,1,6,b ,,,,,
,,M3,C,1,6,c,,,,,
,,M3,C,1,12,a,,,,,
,,M3,C,1,12,b ,,,,,
,,M3,C,1,12,c,,,,,
,,M3,C,1,24,a ,,,,,
,,M3,C,1,24,b ,,,,,
,,M3,C,1,24,c,,,,,
,,M3,C,1,48,a,,,,,
,,M3,C,1,48,b ,,,,,
,,M3,C,1,48,c,,,,,
,,M3,C,2,0.5,a,,,,,
,,M3,C,2,0.5,b ,,,,,
,,M3,C,2,0.5,c,,,,,
,,M3,C,2,2,a,,,,,
,,M3,C,2,2,b ,,,,,
,,M3,C,2,2,c,,,,,
,,M3,C,2,6,a,,,,,
,,M3,C,2,6,b ,,,,,
,,M3,C,2,6,c,,,,,
,,M3,C,2,12,a,,,,,
,,M3,C,2,12,b ,,,,,
,,M3,C,2,12,c,,,,,
,,M3,C,2,24,a ,,,,,
,,M3,C,2,24,b ,,,,,
,,M3,C,2,24,c,,,,,
,,M3,C,2,48,a,,,,,
,,M3,C,2,48,b ,,,,,
,,M3,C,2,48,c,,,,,
,,M3,C,,,E-1 ,,,,,
,,M3,C,,,E-2 ,,,,,
,,M3,C,,,E-3 ,,,,,
,,M3,C,,,E-4 ,,,,,
,,M3,S,1,0.5,a,,,,,
,,M3,S,1,0.5,b ,,,,,
,,M3,S,1,0.5,c,,,,,
,,M3,S,1,2,a,,,,,
,,M3,S,1,2,b ,,,,,
,,M3,S,1,2,c,,,,,
,,M3,S,1,6,a,,,,,
,,M3,S,1,6,b ,,,,,
,,M3,S,1,6,c,,,,,
,,M3,S,1,12,a,,,,,
,,M3,S,1,12,b ,,,,,
,,M3,S,1,12,c,,,,,
,,M3,S,1,24,a ,,,,,
,,M3,S,1,24,b ,,,,,
,,M3,S,1,24,c,,,,,
,,M3,S,1,48,a,,,,,
,,M3,S,1,48,b ,,,,,
,,M3,S,1,48,c,,,,,
,,M3,S,2,0.5,a,,,,,
,,M3,S,2,0.5,b ,,,,,
,,M3,S,2,0.5,c,,,,,
,,M3,S,2,2,a,,,,,
,,M3,S,2,2,b ,,,,,
,,M3,S,2,2,c,,,,,
,,M3,S,2,6,a,,,,,
,,M3,S,2,6,b ,,,,,
,,M3,S,2,6,c,,,,,
,,M3,S,2,12,a,,,,,
,,M3,S,2,12,b ,,,,,
,,M3,S,2,12,c,,,,,
,,M3,S,2,24,a ,,,,,
,,M3,S,2,24,b ,,,,,
,,M3,S,2,24,c,,,,,
,,M3,S,2,48,a,,,,,
,,M3,S,2,48,b ,,,,,
,,M3,S,2,48,c,,,,,
,,M3,S,,,E-1 ,,,,,
,,M3,S,,,E-2 ,,,,,
,,M3,S,,,E-3 ,,,,,
,,M3,S,,,E-4 ,,,,,
,,M4 (starts rubber pads),B,1,0.5,a ,,,,,
,,M4,B,1,0.5,b ,,,,,
