Official_ID,Point_ID,Northing,Easting,Elevation_ussft,Elevation_m,,,,,,,,,,,,
BM1,BM1pre-1,1766269.921,6418508.996,8.41,2.563373127,,,,,,,,,,,,
BM1,BM1pre-2,1766269.934,6418509.001,8.439,2.572212344,,,,,,,,,,,,
BM1,BM1pre-3,1766269.941,6418509.019,8.425,2.567945136,,,,,,,,,,,,
BM1,BM1pre-4,1766269.911,6418509.011,8.434,2.570688341,,,,,,,,,,,,
BM1,BM1pre-5,1766269.974,6418509.027,8.442,2.573126746,,,,,,,,,,,,
,xsA-1,1768032.806,6416899.985,3.434,1.046685293,,,,,,,,,,,,
,xsA-2,1768030.951,6416900.34,3.486,1.062534925,,,,,,,,,,,,
,xsA-3,1768029.208,6416900.403,3.619,1.103073406,,,,,,,,,,,,
,xsA-4,1768026.807,6416900.601,3.747,1.142087884,,,,,,,,,,,,
,xsA-5,1768026.292,6416900.793,3.784,1.153365507,,,,,,,,,,,,
,xsA-6,1768025.921,6416900.725,3.994,1.217373635,,,,,,,,,,,,
,xsA-7,1768023.324,6416900.799,4.386,1.336855474,,,,,,,,,,,,
,xsA-8,1768019.716,6416901.041,4.679,1.426162052,,,,,,,,,,,,
,xsA-9,1768015.97,6416900.891,4.871,1.484683769,,,,,,,,,,,,
,xsA-10,1768012.628,6416901.102,4.994,1.522174244,,,,,,,,,,,,
,xsA-11,1768009.708,6416901.017,5.055,1.540767082,,,,,,,,,,,,
,xsA-12,1768008.326,6416901.392,5.11,1.557531115,,,,,,,,,,,,
,xsA-13pin,1768006.568,6416901.95,5.291,1.612700025,,,,,,,,,,,,
,xsA-14,1768004.524,6416902.091,5.442,1.658724917,,,,,,,,,,,,
,xsA-15,1768003.23,6416902.114,5.8,1.767843536,,,,,,,,,,,,
,xsA-16,1768001.713,6416901.938,5.845,1.781559563,,,,,,,,,,,,
,xsA-17,1767999.946,6416901.496,6.022,1.835509271,,,,,,,,,,,,
,xsA-18,1767996.742,6416901.821,6.078,1.852578105,,,,,,,,,,,,
,xsA-19,1767993.544,6416902.259,6.133,1.869342139,,,,,,,,,,,,
,xsA-20,1767990.617,6416901.656,6.099,1.858978918,,,,,,,,,,,,
,xsA-21,1767985.393,6416901.478,6.114,1.863550927,,,,,,,,,,,,
,xsA-22,1767980.639,6416901.802,6.096,1.858064516,,,,,,,,,,,,
,xsA-23,1767974.968,6416903.237,6.184,1.88488697,,,,,,,,,,,,
,xsA-24,1767970.475,6416903.075,6.095,1.857759716,,,,,,,,,,,,
,xsA-25,1767963.959,6416902.718,6.16,1.877571755,,,,,,,,,,,,
,xsA-26,1767956.424,6416902.647,6.119,1.86507493,,,,,,,,,,,,
,xsA-27,1767945.945,6416902.578,6.124,1.866598933,,,,,,,,,,,,
,xsA-28,1767934.912,6416901.969,6.059,1.846786894,,,,,,,,,,,,
,xsA-29,1767925.689,6416902.077,6.109,1.862026924,,,,,,,,,,,,
,xsA-30,1767912.907,6416903.833,5.943,1.811430023,,,,,,,,,,,,
,xsA-31,1767903.713,6416903.993,5.823,1.77485395,,,,,,,,,,,,
,xsA-32,1767895.236,6416904.601,5.952,1.814173228,,,,,,,,,,,,
,xsA-33,1767885.509,6416903.295,6.134,1.869646939,,,,,,,,,,,,
,xsA-34,1767873.237,6416902.298,6.179,1.883362967,,,,,,,,,,,,
,xsA-35,1767862.997,6416901.428,6.296,1.919024638,,,,,,,,,,,,
,xsA-36,1767847.75,6416900.247,5.953,1.814478029,,,,,,,,,,,,
,xsA-37,1767837.833,6416898.502,5.99,1.825755652,,,,,,,,,,,,
,xsA-38,1767830.129,6416896.553,6.027,1.837033274,,,,,,,,,,,,
,xsB-1,1767829.212,6416853.914,6.122,1.865989332,,,,,,,,,,,,
,xsB-2,1767839.792,6416855.312,6.229,1.898602997,,,,,,,,,,,,
,xsB-3,1767849.704,6416856.089,6.076,1.851968504,,,,,,,,,,,,
,xsB-4,1767858.233,6416856.856,6.22,1.895859792,,,,,,,,,,,,
,xsB-5,1767870.849,6416857.924,6.083,1.854102108,,,,,,,,,,,,
,xsB-6,1767883.968,6416860.078,6.174,1.881838964,,,,,,,,,,,,
,xsB-7,1767896.123,6416860.441,6.237,1.901041402,,,,,,,,,,,,
,xsB-8,1767909.086,6416863.411,6.358,1.937922276,,,,,,,,,,,,
,xsB-9,1767922.51,6416864.853,6.247,1.904089408,,,,,,,,,,,,
,xsB-10,1767935.627,6416866.994,6.047,1.843129286,,,,,,,,,,,,
,xsB-11,1767950.196,6416867.869,6.235,1.900431801,,,,,,,,,,,,
,xsB-12,1767964.518,6416867.518,6.14,1.871475743,,,,,,,,,,,,
,xsB-13,1767973.801,6416867.357,6.052,1.844653289,,,,,,,,,,,,
,xsB-14,1767986.904,6416865.758,5.966,1.818440437,,,,,,,,,,,,
,xsB-15,1767986.982,6416865.678,6.044,1.842214884,,,,,,,,,,,,
,xsB-16,1767997.463,6416865.072,5.893,1.796189992,,,,,,,,,,,,
,xsB-17,1768001.137,6416864.916,5.781,1.762052324,,,,,,,,,,,,
,xsB-18pin,1768003.444,6416864.521,5.376,1.638608077,,,,,,,,,,,,
,xsB-19,1768006.664,6416863.613,5.165,1.574295149,,,,,,,,,,,,
,xsB-20,1768007.49,6416863.487,5.009,1.526746253,,,,,,,,,,,,
,xsB-21,1768010.39,6416862.993,4.992,1.521564643,,,,,,,,,,,,
,xsB-22,1768013.364,6416862.776,4.841,1.475539751,,,,,,,,,,,,
,xsB-23,1768016.059,6416862.447,4.745,1.446278893,,,,,,,,,,,,
,xsB-24,1768019.53,6416861.796,4.575,1.394462789,,,,,,,,,,,,
,xsB-25,1768021.249,6416861.754,4.44,1.353314707,,,,,,,,,,,,
,xsB-26,1768023.411,6416861.865,4.154,1.266141732,,,,,,,,,,,,
,xsB-27,1768024.4,6416861.885,4.091,1.246939294,,,,,,,,,,,,
,xsB-28,1768025.481,6416861.939,3.849,1.173177546,,,,,,,,,,,,
,xsB-29,1768027.33,6416862.05,3.729,1.136601473,,,,,,,,,,,,
,xsB-30,1768029.36,6416862.483,3.629,1.106121412,,,,,,,,,,,,
,xsB-31,1768030.976,6416862.725,3.668,1.118008636,,,,,,,,,,,,
,xsB-32,1768032.165,6416862.675,3.449,1.051257303,,,,,,,,,,,,
,xsC-1,1768028.964,6416998.635,3.386,1.032054864,,,,,,,,,,,,
,xsC-2,1768026.789,6416998.472,3.463,1.055524511,,,,,,,,,,,,
,xsC-3,1768025.226,6416998.093,3.938,1.200304801,,,,,,,,,,,,
,xsC-4,1768024.212,6416997.889,4.581,1.396291593,,,,,,,,,,,,
,xsC-5,1768022.302,6416997.742,4.861,1.481635763,,,,,,,,,,,,
,xsC-6,1768020.387,6416997.573,4.876,1.486207772,,,,,,,,,,,,
,xsC-7,1768016.851,6416997.276,5.097,1.553568707,,,,,,,,,,,,
,xsC-8,1768014.446,6416997.255,4.961,1.512115824,,,,,,,,,,,,
,xsC-9,1768013.426,6416997.006,4.562,1.390500381,,,,,,,,,,,,
,xsC-10,1768011.18,6416996.585,4.487,1.367640335,,,,,,,,,,,,
,xsC-11,1768008.839,6416995.908,4.505,1.373126746,,,,,,,,,,,,
,xsC-12,1768004.665,6416995.69,4.254,1.296621793,,,,,,,,,,,,
,xsC-13,1768004.669,6416995.668,4.534,1.381965964,,,,,,,,,,,,
,xsC-14,1767998.327,6416996.726,3.917,1.193903988,,,,,,,,,,,,
,xsC-15,1767993.313,6416996.225,4.465,1.360934722,,,,,,,,,,,,
,xsC-16,1767985.99,6416996.131,4.464,1.360629921,,,,,,,,,,,,
,xsC-17,1767983.061,6416995.833,4.485,1.367030734,,,,,,,,,,,,
,xsC-18,1767982.337,6416996.28,4.877,1.486512573,,,,,,,,,,,,
,xsC-19,1767980.292,6416996.356,4.974,1.516078232,,,,,,,,,,,,
,xsC-20,1767977.758,6416996.34,5.32,1.621539243,,,,,,,,,,,,
,xsC-21,1767976.817,6416996.112,5.585,1.702311405,,,,,,,,,,,,
,xsC-22,1767975.789,6416996.279,6.263,1.908966218,,,,,,,,,,,,
,xsC-23pin,1767973.373,6416995.87,6.209,1.892506985,,,,,,,,,,,,
,xsC-24,1767970.418,6416996.396,6.296,1.919024638,,,,,,,,,,,,
,xsC-25,1767959.008,6416999.67,6.133,1.869342139,,,,,,,,,,,,
,xsC-26,1767946.599,6417002.661,6.2,1.88976378,,,,,,,,,,,,
,xsC-27,1767933.568,6417004.841,6.096,1.858064516,,,,,,,,,,,,
,xsC-28,1767919.715,6417008.598,6.219,1.895554991,,,,,,,,,,,,
,xsC-29,1767904.415,6417010.116,6.022,1.835509271,,,,,,,,,,,,
,xsC-30,1767891.735,6417011.887,5.89,1.795275591,,,,,,,,,,,,
,xsC-31,1767888.416,6417011.648,5.313,1.619405639,,,,,,,,,,,,
,xsC-32,1767886.816,6417011.305,5.618,1.712369825,,,,,,,,,,,,
,xsC-33,1767872.964,6417007.464,5.863,1.787045974,,,,,,,,,,,,
,xsC-34,1767856.605,6417005.771,6.137,1.870561341,,,,,,,,,,,,
,xsC-35,1767839.482,6417006.502,6.062,1.847701295,,,,,,,,,,,,
,xsC-36,1767826.145,6417006.758,6.021,1.83520447,,,,,,,,,,,,
,xsC-37,1767812.721,6417009.648,6.05,1.844043688,,,,,,,,,,,,
,xsD-1,1767812.199,6417064.095,6.024,1.836118872,,,,,,,,,,,,
,xsD-2,1767824.731,6417062.983,6.048,1.843434087,,,,,,,,,,,,
,xsD-3,1767841.185,6417062.433,6.151,1.87482855,,,,,,,,,,,,
,xsD-4,1767858.137,6417060.927,5.824,1.77515875,,,,,,,,,,,,
,xsD-5,1767871.389,6417059.087,6.157,1.876657353,,,,,,,,,,,,
,xsD-6,1767888.645,6417059.611,6.014,1.833070866,,,,,,,,,,,,
,xsD-7,1767903.154,6417059.88,6.17,1.880619761,,,,,,,,,,,,
,xsD-8,1767920.267,6417059.346,6.204,1.890982982,,,,,,,,,,,,
,xsD-9,1767934.192,6417056.818,6.124,1.866598933,,,,,,,,,,,,
,xsD-10,1767946.429,6417055.377,5.741,1.7498603,,,,,,,,,,,,
,xsD-11,1767961.98,6417052.114,5.987,1.82484125,,,,,,,,,,,,
,xsD-12,1767979.856,6417047.575,5.887,1.794361189,,,,,,,,,,,,
,xsD-13,1767991.503,6417042.275,5.825,1.775463551,,,,,,,,,,,,
,xsD-14,1767996.141,6417040.544,5.601,1.707188214,,,,,,,,,,,,
,xsD-15pin,1767998.531,6417039.742,5.66,1.72517145,,,,,,,,,,,,
,xsD-16,1768002.548,6417038.865,5.403,1.646837694,,,,,,,,,,,,
,xsD-17,1768000.375,6417039.055,5.644,1.720294641,,,,,,,,,,,,
,xsD-18,1768004.875,6417038.95,5.01,1.527051054,,,,,,,,,,,,
,xsD-19,1768006.124,6417038.797,4.874,1.485598171,,,,,,,,,,,,
,xsD-20,1768008.865,6417038.844,4.88,1.487426975,,,,,,,,,,,,
,xsD-21,1768012.068,6417038.981,4.725,1.44018288,,,,,,,,,,,,
,xsD-22,1768015.685,6417039.257,4.538,1.383185166,,,,,,,,,,,,
,xsD-23,1768018.546,6417039.306,4.385,1.336550673,,,,,,,,,,,,
,xsD-24,1768020.268,6417039.357,4.377,1.334112268,,,,,,,,,,,,
,xsD-25,1768021.311,6417039.311,4.212,1.283820168,,,,,,,,,,,,
,xsD-26,1768024.434,6417039.472,3.99,1.216154432,,,,,,,,,,,,
,xsD-27,1768027.497,6417040.153,3.951,1.204267209,,,,,,,,,,,,
,xsD-28,1768027.465,6417039.575,6.858,2.090322581,,,,,,,,,,,,
BM1,BM1post-1,1766270.146,6418508.937,8.528,2.599339599,,,,,,,,,,,,
BM1,BM1post-2,1766270.191,6418508.948,8.557,2.608178816,,,,,,,,,,,,
BM1,BM1post-3,1766270.171,6418508.978,8.573,2.613055626,,,,,,,,,,,,
BM1,BM1post-4,1766270.14,6418508.969,8.554,2.607264415,,,,,,,,,,,,
BM1,BM1post-5,1766270.137,6418508.953,8.522,2.597510795,,,,,,,,,,,,
