Site,Plot ID,Month ,Season,Year,Species,Avg Ht,Max Ht,Cover
San Pablo,A0.5,AUGUST,Summer ,2022,SPFO,75,100,1
San Pablo,A2,AUGUST,Summer ,2022,SPFO,81,100,5
San Pablo,A6,AUGUST,Summer ,2022,SPFO,80,99,10
San Pablo,A12,AUGUST,Summer ,2022,SPFO,65,87,20
San Pablo,A24,AUGUST,Summer ,2022,SAPA,45,60,45
San Pablo,A48,AUGUST,Summer ,2022,SAPA,50,95,90
San Pablo,A72,AUGUST,Summer ,2022,SAPA,40,58,85
San Pablo,A150,AUGUST,Summer ,2022,SAPA,40,60,80
San Pablo,B0.5,AUGUST,Summer ,2022,SPFO,60,110,1
San Pablo,B2,AUGUST,Summer ,2022,SPFO,60,95,5
San Pablo,B6,AUGUST,Summer ,2022,SPFO,60,100,10
San Pablo,B12,AUGUST,Summer ,2022,SPFO,65,90,20
San Pablo,B24,AUGUST,Summer ,2022,SPFO,35,40,10
San Pablo,B24,AUGUST,Summer ,2022,SAPA,28,45,10
San Pablo,B48,AUGUST,Summer ,2022,SAPA,45,58,85
San Pablo,B72,AUGUST,Summer ,2022,SAPA,30,55,80
San Pablo,B150,AUGUST,Summer ,2022,SAPA,35,54,85
San Pablo,C0.5,AUGUST,Summer ,2022,SPFO,65,98,2
San Pablo,C2,AUGUST,Summer ,2022,SPFO,80,106,5
San Pablo,C6,AUGUST,Summer ,2022,SPFO,70,101,20
San Pablo,C12,AUGUST,Summer ,2022,SPFO,70,90,35
San Pablo,C24,AUGUST,Summer ,2022,SPFO,53,74,2
San Pablo,C24,AUGUST,Summer ,2022,SAPA,30,43,70
San Pablo,C48,AUGUST,Summer ,2022,SAPA,25,36,60
San Pablo,C72,AUGUST,Summer ,2022,SAPA,45,64,85
San Pablo,C150,AUGUST,Summer ,2022,SAPA,34,62,80
San Pablo,D0.5,AUGUST,Summer ,2022,SPFO,89,108,2
San Pablo,D2,AUGUST,Summer ,2022,SPFO,72,97,5
San Pablo,D6,AUGUST,Summer ,2022,SPFO,90,111,10
San Pablo,D12,AUGUST,Summer ,2022,SPFO,50,79,35
San Pablo,D24,AUGUST,Summer ,2022,SAPA,37,50,35
San Pablo,D48,AUGUST,Summer ,2022,SAPA,45,65,90
San Pablo,D72,AUGUST,Summer ,2022,SAPA,40,56,80
San Pablo,D150,AUGUST,Summer ,2022,SAPA,35,55,80
San Pablo,A0.5,FEBRUARY ,Winter ,2023,SPFO,25,32,10
San Pablo,A2,FEBRUARY ,Winter ,2023,SPFO,30,48,15
San Pablo,A6,FEBRUARY ,Winter ,2023,SPFO,24,51,15
San Pablo,A9,FEBRUARY ,Winter ,2023,SPFO,26,58,30
San Pablo,A24,FEBRUARY ,Winter ,2023,SPFO,30,41,20
San Pablo,A24,FEBRUARY ,Winter ,2023,SAPA,25,60,80
San Pablo,A48,FEBRUARY ,Winter ,2023,SAPA,47,69,100
San Pablo,A72,FEBRUARY ,Winter ,2023,SAPA,39,64,95
San Pablo,A150,FEBRUARY ,Winter ,2023,SAPA,31,62,90
San Pablo,B6,FEBRUARY ,Winter ,2023,SPFO,24,56,1
San Pablo,B9,FEBRUARY ,Winter ,2023,SPFO,18,44,5
San Pablo,B12,FEBRUARY ,Winter ,2023,SPFO,22,33,5
San Pablo,B18,FEBRUARY ,Winter ,2023,SPFO,27,36,10
San Pablo,B24,FEBRUARY ,Winter ,2023,SPFO,25,41,30
San Pablo,B24,FEBRUARY ,Winter ,2023,SPFO,20,40,10
San Pablo,B48,FEBRUARY ,Winter ,2023,SAPA,28,44,40
San Pablo,B72,FEBRUARY ,Winter ,2023,SAPA,39,55,95
San Pablo,B150,FEBRUARY ,Winter ,2023,SAPA,25,63,100
San Pablo,C2,FEBRUARY ,Winter ,2023,SPFO,17,35,10
San Pablo,C6,FEBRUARY ,Winter ,2023,SPFO,21,55,20
San Pablo,C12,FEBRUARY ,Winter ,2023,SPFO,16,48,30
San Pablo,C24,FEBRUARY ,Winter ,2023,SPFO,6,20,5
San Pablo,C24,FEBRUARY ,Winter ,2023,SAPA,34,45,10
San Pablo,C48,FEBRUARY ,Winter ,2023,SAPA,24,41,5
San Pablo,C72,FEBRUARY ,Winter ,2023,SAPA,44,64,100
San Pablo,C150,FEBRUARY ,Winter ,2023,SAPA,30,52,100
San Pablo,D2,FEBRUARY ,Winter ,2023,SPFO,20,27,5
San Pablo,D12,FEBRUARY ,Winter ,2023,SPFO,32,44,15
San Pablo,D24,FEBRUARY ,Winter ,2023,SAPA,28,49,30
San Pablo,D48,FEBRUARY ,Winter ,2023,SAPA,40,51,80
San Pablo,D72,FEBRUARY ,Winter ,2023,SAPA,39,60,95
San Pablo,D150,FEBRUARY ,Winter ,2023,SAPA,35,63,95
San Pablo,A0.5,JULY ,Summer ,2023,NA,NA,NA,0
San Pablo,A2,JULY ,Summer ,2023,NA,NA,NA,0
San Pablo,A6,JULY ,Summer ,2023,SPFO,46,91,1
San Pablo,A9,JULY ,Summer ,2023,SPFO,72,91,10
San Pablo,A12,JULY ,Summer ,2023,SPFO,89,107,10
San Pablo,A18,JULY ,Summer ,2023,SPFO,50,67,10
San Pablo,A24,JULY ,Summer ,2023,SAPA,46,58,40
San Pablo,A24,JULY ,Summer ,2023,SPFO,80,88,5
San Pablo,A48,JULY ,Summer ,2023,SAPA,34,67,50
San Pablo,A72,JULY ,Summer ,2023,SAPA,51,62,80
San Pablo,A150,JULY ,Summer ,2023,SAPA,38,51,85
San Pablo,B0.5,JULY ,Summer ,2023,SPFO,62,108,1
San Pablo,B2,JULY ,Summer ,2023,SPFO,48,68,1
San Pablo,B6,JULY ,Summer ,2023,SPFO,54,88,2
San Pablo,B9,JULY ,Summer ,2023,SPFO,76,92,5
San Pablo,B12,JULY ,Summer ,2023,SPFO,69,79,10
San Pablo,B18,JULY ,Summer ,2023,SPFO,60,85,10
San Pablo,B24,JULY ,Summer ,2023,SPFO,70,81,60
San Pablo,B24,JULY ,Summer ,2023,SAPA,40,52,10
San Pablo,B48,JULY ,Summer ,2023,SAPA,41,57,60
San Pablo,B72,JULY ,Summer ,2023,SAPA,36,45,90
San Pablo,B150,JULY ,Summer ,2023,SAPA,40,49,90
San Pablo,C0.5,JULY ,Summer ,2023,SPFO,65,115,1
San Pablo,C2,JULY ,Summer ,2023,SPFO,78,108,1
San Pablo,C6,JULY ,Summer ,2023,SPFO,80,103,5
San Pablo,C12,JULY ,Summer ,2023,SPFO,65,88,40
San Pablo,C24,JULY ,Summer ,2023,SAPA,56,65,35
San Pablo,C24,JULY ,Summer ,2023,SPFO,90,107,5
San Pablo,C24,JULY ,Summer ,2023,BOMA,85,101,15
San Pablo,C48,JULY ,Summer ,2023,SAPA,39,56,70
San Pablo,C72,JULY ,Summer ,2023,SAPA,55,74,90
San Pablo,C150,JULY ,Summer ,2023,SAPA,34,54,90
San Pablo,D0.5,JULY ,Summer ,2023,SPFO,65,94,1
San Pablo,D2,JULY ,Summer ,2023,SPFO,80,101,5
San Pablo,D6,JULY ,Summer ,2023,SPFO,84,98,10
San Pablo,D12,JULY ,Summer ,2023,SPFO,75,90,65
San Pablo,D24,JULY ,Summer ,2023,BOMA,95,107,15
San Pablo,D24,JULY ,Summer ,2023,SAPA,28,34,40
San Pablo,D48,JULY ,Summer ,2023,SAPA,44,72,85
San Pablo,D72,JULY ,Summer ,2023,SAPA,42,64,70
San Pablo,D150,JULY ,Summer ,2023,SAPA,30,43,80
Corte Madera,A0.5,AUGUST,Summer ,2022,SAPA,44,54,60
Corte Madera,A0.5,AUGUST,Summer ,2022,SPFO,59,79,10
Corte Madera,A12,AUGUST,Summer ,2022,SAPA,28,41,10
Corte Madera,A12,AUGUST,Summer ,2022,SPFO,35,47,5
Corte Madera,A12,AUGUST,Summer ,2022,JACA,17,25,65
Corte Madera,A12,AUGUST,Summer ,2022,DISP,19,24,3
Corte Madera,A2,AUGUST,Summer ,2022,SAPA,26,37,30
Corte Madera,A2,AUGUST,Summer ,2022,SPFO,54,64,15
Corte Madera,A2,AUGUST,Summer ,2022,JACA,9,10,1
Corte Madera,A24,AUGUST,Summer ,2022,SAPA,30,45,50
Corte Madera,A24,AUGUST,Summer ,2022,SPFO,61,80,20
Corte Madera,A48,AUGUST,Summer ,2022,JACA,11,18,10
Corte Madera,A48,AUGUST,Summer ,2022,DISP,18,26,95
Corte Madera,A6,AUGUST,Summer ,2022,SAPA,31,39,5
Corte Madera,A6,AUGUST,Summer ,2022,SPFO,31,45,5
Corte Madera,A6,AUGUST,Summer ,2022,JACA,19,26,60
Corte Madera,A6,AUGUST,Summer ,2022,DISP,24,32,30
Corte Madera,B0.5,AUGUST,Summer ,2022,SAPA,26,50,55
Corte Madera,B0.5,AUGUST,Summer ,2022,SPFO,47,59,10
Corte Madera,B12,AUGUST,Summer ,2022,SAPA,28,35,45
Corte Madera,B12,AUGUST,Summer ,2022,SPFO,35,49,15
Corte Madera,B12,AUGUST,Summer ,2022,JACA,18,27,85
Corte Madera,B24,AUGUST,Summer ,2022,SAPA,27,37,15
Corte Madera,B24,AUGUST,Summer ,2022,SPFO,44,60,20
Corte Madera,B48,AUGUST,Summer ,2022,SAPA,21,37,50
Corte Madera,B48,AUGUST,Summer ,2022,SPFO,26,34,5
Corte Madera,B6,AUGUST,Summer ,2022,SAPA,22,38,30
Corte Madera,B6,AUGUST,Summer ,2022,SPFO,44,54,5
Corte Madera,B6,AUGUST,Summer ,2022,JACA,17,25,85
Corte Madera,B6,AUGUST,Summer ,2022,DISP,21,30,1
Corte Madera,C0.5,AUGUST,Summer ,2022,SAPA,21,33,10
Corte Madera,C0.5,AUGUST,Summer ,2022,JACA,13,19,10
Corte Madera,C0.5,AUGUST,Summer ,2022,DISP,21,27,75
Corte Madera,C12,AUGUST,Summer ,2022,SAPA,27,38,90
Corte Madera,C12,AUGUST,Summer ,2022,SPFO,48,52,10
Corte Madera,C2,AUGUST,Summer ,2022,SAPA,25,45,40
Corte Madera,C24,AUGUST,Summer ,2022,SAPA,33,42,40
Corte Madera,C24,AUGUST,Summer ,2022,SPFO,53,61,20
Corte Madera,C48,AUGUST,Summer ,2022,SAPA,23,31,20
Corte Madera,C48,AUGUST,Summer ,2022,SPFO,37,49,45
Corte Madera,C6,AUGUST,Summer ,2022,SAPA,36,47,90
Corte Madera,C6,AUGUST,Summer ,2022,SPFO,58,65,5
Corte Madera,D0.5,AUGUST,Summer ,2022,SAPA,30,44,35
Corte Madera,D0.5,AUGUST,Summer ,2022,DISP,24,31,62
Corte Madera,D12,AUGUST,Summer ,2022,SAPA,23,36,40
Corte Madera,D12,AUGUST,Summer ,2022,DISP,23,29,55
Corte Madera,D2,AUGUST,Summer ,2022,SAPA,19,22,15
Corte Madera,D2,AUGUST,Summer ,2022,DISP,12,18,70
Corte Madera,D24,AUGUST,Summer ,2022,SAPA,19,31,65
Corte Madera,D24,AUGUST,Summer ,2022,SPFO,38,46,10
Corte Madera,D48,AUGUST,Summer ,2022,SAPA,21,29,55
Corte Madera,D48,AUGUST,Summer ,2022,SPFO,44,56,20
Corte Madera,D6,AUGUST,Summer ,2022,SAPA,23,36,50
Corte Madera,D6,AUGUST,Summer ,2022,DISP,21,31,50
Corte Madera,A2,FEBRUARY ,Winter ,2023,SPFO,24.13,33.02,5
Corte Madera,A2,FEBRUARY ,Winter ,2023,JACA,7.62,10.16,90
Corte Madera,B12,FEBRUARY ,Winter ,2023,SAPA,17.78,25.4,25
Corte Madera,B12,FEBRUARY ,Winter ,2023,SPFO,33.02,43.18,15
Corte Madera,B12,FEBRUARY ,Winter ,2023,JACA,10.16,17.78,30
Corte Madera,B18,FEBRUARY ,Winter ,2023,SAPA,15.24,27.94,5
Corte Madera,B18,FEBRUARY ,Winter ,2023,SPFO,27.94,40.64,20
Corte Madera,B2,FEBRUARY ,Winter ,2023,SAPA,38.1,43.18,25
Corte Madera,B2,FEBRUARY ,Winter ,2023,SPFO,12.7,17.78,1
Corte Madera,B2,FEBRUARY ,Winter ,2023,JACA,7.62,12.7,5
Corte Madera,B24,FEBRUARY ,Winter ,2023,SAPA,25.4,33.02,10
Corte Madera,B24,FEBRUARY ,Winter ,2023,SPFO,38.1,50.8,20
Corte Madera,B30,FEBRUARY ,Winter ,2023,SAPA,22.86,33.02,30
Corte Madera,B30,FEBRUARY ,Winter ,2023,SPFO,33.02,60.96,10
Corte Madera,B30,FEBRUARY ,Winter ,2023,DISP,15.24,20.32,15
Corte Madera,B48,FEBRUARY ,Winter ,2023,SAPA,20.32,35.56,40
Corte Madera,B48,FEBRUARY ,Winter ,2023,JACA,10.16,15.24,10
Corte Madera,B48,FEBRUARY ,Winter ,2023,DISP,19.05,35.56,20
Corte Madera,B6,FEBRUARY ,Winter ,2023,SAPA,15.24,25.4,19
Corte Madera,B6,FEBRUARY ,Winter ,2023,SPFO,30.48,48.26,1
Corte Madera,B6,FEBRUARY ,Winter ,2023,JACA,12.7,17.78,80
Corte Madera,C0.5,FEBRUARY ,Winter ,2023,JACA,7.62,11.43,65
Corte Madera,C0.5,FEBRUARY ,Winter ,2023,DISP,17.78,33.02,25
Corte Madera,C0.5,FEBRUARY ,Winter ,2023,GRST,20.32,22.86,10
Corte Madera,C0.5,FEBRUARY ,Winter ,2023,LICA,10.16,16.51,3
Corte Madera,C12,FEBRUARY ,Winter ,2023,SAPA,25.4,35.56,80
Corte Madera,C12,FEBRUARY ,Winter ,2023,SPFO,50.8,59.69,5
Corte Madera,C2,FEBRUARY ,Winter ,2023,SAPA,40.64,53.34,35
Corte Madera,C2,FEBRUARY ,Winter ,2023,DISP,15.24,20.32,30
Corte Madera,C24,FEBRUARY ,Winter ,2023,SAPA,20.32,38.1,60
Corte Madera,C24,FEBRUARY ,Winter ,2023,SPFO,35.56,59.69,10
Corte Madera,C48,FEBRUARY ,Winter ,2023,SAPA,22.86,38.1,20
Corte Madera,C48,FEBRUARY ,Winter ,2023,SPFO,26.67,43.18,40
Corte Madera,C6,FEBRUARY ,Winter ,2023,SAPA,27.94,48.26,85
Corte Madera,D0.5,FEBRUARY ,Winter ,2023,SAPA,25,42,30
Corte Madera,D0.5,FEBRUARY ,Winter ,2023,DISP,13,28,15
Corte Madera,D0.5,FEBRUARY ,Winter ,2023,GRST,50,56,15
Corte Madera,D12,FEBRUARY ,Winter ,2023,SAPA,25,40.5,40
Corte Madera,D12,FEBRUARY ,Winter ,2023,DISP,17,12,50
Corte Madera,D2,FEBRUARY ,Winter ,2023,SAPA,15,36,5
Corte Madera,D2,FEBRUARY ,Winter ,2023,DISP,8,27,70
Corte Madera,D2,FEBRUARY ,Winter ,2023,GRST,51,58,10
Corte Madera,D24,FEBRUARY ,Winter ,2023,SAPA,20,35.5,65
Corte Madera,D24,FEBRUARY ,Winter ,2023,SPFO,27,48,5
Corte Madera,D48,FEBRUARY ,Winter ,2023,SAPA,15,25,40
Corte Madera,D48,FEBRUARY ,Winter ,2023,SPFO,26.5,42,15
Corte Madera,D6,FEBRUARY ,Winter ,2023,SAPA,19,30,70
Corte Madera,D6,FEBRUARY ,Winter ,2023,DISP,19,34,20
Corte Madera,A12,FEBRUARY ,Winter ,2023,SAPA,21,37,10
Corte Madera,A12,FEBRUARY ,Winter ,2023,SPFO,37,57,5
Corte Madera,A12,FEBRUARY ,Winter ,2023,JACA,19,24,70
Corte Madera,A12,FEBRUARY ,Winter ,2023,DISP,16,23,5
Corte Madera,A18,FEBRUARY ,Winter ,2023,SAPA,28,47,25
Corte Madera,A18,FEBRUARY ,Winter ,2023,SPFO,30,45,1
Corte Madera,A18,FEBRUARY ,Winter ,2023,JACA,19,21,65
Corte Madera,A18,FEBRUARY ,Winter ,2023,DISP,20,29,10
Corte Madera,A24,FEBRUARY ,Winter ,2023,SAPA,35,48,50
Corte Madera,A24,FEBRUARY ,Winter ,2023,SPFO,50,65,30
Corte Madera,A30,FEBRUARY ,Winter ,2023,SAPA,25,36,10
Corte Madera,A30,FEBRUARY ,Winter ,2023,SPFO,35,47,10
Corte Madera,A30,FEBRUARY ,Winter ,2023,JACA,11,16,80
Corte Madera,A48,FEBRUARY ,Winter ,2023,JACA,8,12,1
Corte Madera,A48,FEBRUARY ,Winter ,2023,DISP,20,44,99
Corte Madera,A6,FEBRUARY ,Winter ,2023,SAPA,21,29,10
Corte Madera,A6,FEBRUARY ,Winter ,2023,SPFO,28,39,5
Corte Madera,A6,FEBRUARY ,Winter ,2023,JACA,17,25,30
Corte Madera,A6,FEBRUARY ,Winter ,2023,DISP,20,28,60
Corte Madera,A12,JULY ,Summer ,2023,SAPA,31,50,20
Corte Madera,A12,JULY ,Summer ,2023,SPFO,14,25,95
Corte Madera,A12,JULY ,Summer ,2023,JACA,14,25,95
Corte Madera,A12,JULY ,Summer ,2023,DISP,16,31,30
Corte Madera,A18,JULY ,Summer ,2023,SAPA,34,51,15
Corte Madera,A18,JULY ,Summer ,2023,SPFO,35,58,15
Corte Madera,A18,JULY ,Summer ,2023,JACA,21,30,100
Corte Madera,A2,JULY ,Summer ,2023,SAPA,35,56,40
Corte Madera,A2,JULY ,Summer ,2023,SPFO,36,60,15
Corte Madera,A2,JULY ,Summer ,2023,JACA,12,20,95
Corte Madera,A24,JULY ,Summer ,2023,SAPA,40,56,10
Corte Madera,A24,JULY ,Summer ,2023,SPFO,38,56,15
Corte Madera,A24,JULY ,Summer ,2023,JACA,20,26,100
Corte Madera,A48,JULY ,Summer ,2023,SPFO,34,38,5
Corte Madera,A48,JULY ,Summer ,2023,JACA,17,24,80
Corte Madera,A48,JULY ,Summer ,2023,DISP,25,44,90
Corte Madera,A6,JULY ,Summer ,2023,SPFO,32,52,5
Corte Madera,A6,JULY ,Summer ,2023,JACA,12,28,90
Corte Madera,A6,JULY ,Summer ,2023,DISP,21,36,45
Corte Madera,B12,JULY ,Summer ,2023,SAPA,30,50,35
Corte Madera,B12,JULY ,Summer ,2023,SPFO,35,63,NA
Corte Madera,B12,JULY ,Summer ,2023,JACA,9,15,80
Corte Madera,B18,JULY ,Summer ,2023,SAPA,25,45,30
Corte Madera,B18,JULY ,Summer ,2023,SPFO,12,47,40
Corte Madera,B2,JULY ,Summer ,2023,SAPA,31,44,10
Corte Madera,B2,JULY ,Summer ,2023,SPFO,23,50,5
Corte Madera,B2,JULY ,Summer ,2023,JACA,15,25,80
Corte Madera,B2,JULY ,Summer ,2023,DISP,15,23,20
Corte Madera,B24,JULY ,Summer ,2023,SAPA,24,37,15
Corte Madera,B24,JULY ,Summer ,2023,SPFO,38,71,65
Corte Madera,B30,JULY ,Summer ,2023,SAPA,25,51,60
Corte Madera,B30,JULY ,Summer ,2023,SPFO,46,61,15
Corte Madera,B30,JULY ,Summer ,2023,DISP,24,38,40
Corte Madera,B48,JULY ,Summer ,2023,SAPA,23,31,80
Corte Madera,B48,JULY ,Summer ,2023,SPFO,30,42,10
Corte Madera,B6,JULY ,Summer ,2023,SAPA,18,38,10
Corte Madera,B6,JULY ,Summer ,2023,SPFO,32,45,5
Corte Madera,B6,JULY ,Summer ,2023,JACA,15,23,85
Corte Madera,B6,JULY ,Summer ,2023,DISP,25,42,10
Corte Madera,C0.5,JULY ,Summer ,2023,SAPA,14,32,10
Corte Madera,C0.5,JULY ,Summer ,2023,JACA,14,25,40
Corte Madera,C0.5,JULY ,Summer ,2023,GRST,41,52,10
Corte Madera,C0.5,JULY ,Summer ,2023,LICA,45,54,10
Corte Madera,C12,JULY ,Summer ,2023,SAPA,37,48,60
Corte Madera,C12,JULY ,Summer ,2023,SPFO,63,78,5
Corte Madera,C2,JULY ,Summer ,2023,SAPA,22,41,40
Corte Madera,C2,JULY ,Summer ,2023,DISP,25,34,85
Corte Madera,C24,JULY ,Summer ,2023,SAPA,30,37,20
Corte Madera,C24,JULY ,Summer ,2023,SPFO,57,67,20
Corte Madera,C48,JULY ,Summer ,2023,SAPA,39,45,25
Corte Madera,C48,JULY ,Summer ,2023,SPFO,44,51,25
Corte Madera,C6,JULY ,Summer ,2023,SAPA,34,50,95
Corte Madera,D0.5,JULY ,Summer ,2023,SAPA,35,46,15
Corte Madera,D0.5,JULY ,Summer ,2023,SPFO,43,43,1
Corte Madera,D0.5,JULY ,Summer ,2023,DISP,31,37,60
Corte Madera,D0.5,JULY ,Summer ,2023,GRST,48,57,5
Corte Madera,D12,JULY ,Summer ,2023,SAPA,35,52,35
Corte Madera,D12,JULY ,Summer ,2023,DISP,23,31,30
Corte Madera,D2,JULY ,Summer ,2023,SAPA,30,43,5
Corte Madera,D2,JULY ,Summer ,2023,DISP,25,56,50
Corte Madera,D2,JULY ,Summer ,2023,GRST,58,74,35
Corte Madera,D24,JULY ,Summer ,2023,SAPA,25,37,45
Corte Madera,D24,JULY ,Summer ,2023,SPFO,46,59,15
Corte Madera,D48,JULY ,Summer ,2023,SAPA,33,45,25
Corte Madera,D48,JULY ,Summer ,2023,SPFO,48,62,15
Corte Madera,D6,JULY ,Summer ,2023,SAPA,35,46,25
Corte Madera,D6,JULY ,Summer ,2023,DISP,23,26,25
